title,body
prima facie,"Confidential communications to certain persons that are protected by law 
against any disclosure, including forced disclosure in legal proceedings. 
Communications between lawyer and client, physician and patient, 
psychotherapist and patient, priest, minister or rabbi and penitent are 
typically privileged.                      "
privileged communications,"A judicial finding that there exists reasonable grounds for belief that a 
person should be arrested or searched.                      "
probable cause,The process of proving the validity of a will.                      
probate,"A  sentence  releasing a convicted criminal into the community or a treatment facility 
under the supervision of a probation officer, requiring compliance with 
certain conditions. If the conditions are not met, the court orders an 
""Order to Show Cause""  hearing  as to why probation should not be revoked and the  sentence  imposed.                "
probation,"For himself; in his own behalf. One who does not retain a lawyer and 
appears for himself in court.                      "
pro se,"The name of the public officer who is appointed in each county to conduct 
criminal prosecutions on behalf of the state or people.                      "
prosecutor,"In child abuse and neglect cases, the emergency removal of child from his 
home when the child would be in imminent danger if allowed to remain with 
the parent(s) or custodian(s).                      "
protective custody,"A court order following a  judgment  on the ground of neglect or abuse, whereby the child is permitted to 
remain in his home, and supervision and assistance to correct the neglect 
or abuse is provided by the  probation  department or other agency designated by the court.                  "
protective supervision,"In a civil  tort  action such as a medical  malpractice  suit, the  plaintiff  must show that an act or omission of the  defendant  was a proximate cause of the  plaintiff s injury or loss. Similarly, in a criminal action, the state must prove 
beyond a reasonable doubt that the  defendant s action was the direct cause of the crime.          "
proximate cause,"Lawyers regularly employed by the government to represent people accused of 
crimes who cannot afford to hire their own. The term may also be used to 
refer to a private firm receiving public money to defend indigent criminal 
defendants.                      "
public defender,"Money awarded to an injured person, over and above the measurable value of 
the injury, in order to punish the person who hurt him.                      "
punitive damages,"To overthrow; vacate; to annul or void a  summons ,  indictment , bindover order or  subpoena .                "
quash,"What for what; something for something; giving one valuable thing for 
another.                      "
quid pro quo,"A person accused of a crime is entitled to acquittal if, in the minds of 
the jury or judge, his or her guilt has not been proved beyond a 
""reasonable doubt""; the jurors are not entirely convinced of the person's 
guilt.                      "
reasonable doubt,"Evidence given to explain, contradict, or disprove facts offered by the 
adverse party. In criminal cases, the state has the opportunity to rebut 
the defendant's case because it has the burden of proof.                      "
rebuttal evidence,"The continued, habitual or compulsive commission of law violations after 
first having been convicted of prior offenses.                      "
recidivism,"A kind of  bail , consisting of a written promise to appear in court when required. 
Generally, when there is no good reason to suppose the accused in a 
criminal case will not appear when required or the accused is not a 
significant risk to the community, he or she will be released on his or her 
own recognizance.                    "
recognizance,"Follows cross examination, and is conducted by the party who first examined 
the  witness .                    "
redirect examination,"In Juvenile Court, a written report submitted by a law enforcement officer 
or other person who has reason to believe a juvenile has committed a crime 
that would place the child within the  jurisdiction  of the Juvenile Court.                    "
referral,Evidence that helps to prove a point or issue in a case.                      
relevant,"""To send back""; For example, an appellate court may remand a case to a 
lower court for retrial or for some change in  disposition .                    "
remand,"An order by a court directing the transfer of a case to another court. For 
example, when a case is proper for  jurisdiction  in federal court, the federal court may remove the case from the state 
court in which it was originally filed.                    "
"removal, order of","State laws requiring certain designated persons (physicians, nurses, 
teachers) to report to the authorities suspected cases of child abuse and 
injuries.                      "
reporting statutes,"Literally, ""a thing that speaks for itself."" In  tort  law, the doctrine which holds a  defendant  guilty of  negligence  without an actual showing that he or she was negligent. Its use is limited 
in theory to cases in which the cause of the plaintiff's injury was 
entirely under the control of the  defendant , and the injury presumably could have been caused only by  negligence .            "
res ipsa loquitur,"A rule of civil law that once a matter has been litigated and final  judgment  has been rendered by the  trial  court, the matter cannot be relitigated by the  parties  in the same court, or any other  trial  court. A court will use res judicata to deny reconsideration of a matter.              "
res judicata,"Literally, ""a superior (or master) must answer."" The doctrine which holds 
that employers are responsible for the acts and omissions of their 
employees and agents, when done within the scope of the employees' duties.                      "
respondeat superior,"1) the person who is the subject of a  petition , 2) the prevailing party in a court case against whom an  appeal  is taken.                  "
respondent,"A party is said to ""rest"" or ""rest his case"" when he/she has presented all 
the  evidence  he/she intends to offer.                    "
rest,"Court ordered payment to restore goods or money to the victim of a crime by 
the offender.                      "
restitution,"Similar to an  injunction , commanding the party to leave the other party alone, usually in a divorce 
proceeding.                    "
restraining order,The fee which the client pays when he/she retains an attorney.                      
retainer,"The closure of court records to inspection, except to the  parties .                    "
sealing,"In general, an examination, without authority of law, of one's premises or 
person to find stolen property or contraband.                      "
"search and seizure, unreasonable","An order issued by a judge or magistrate commanding a sheriff, constable, 
or other officer to search a specified location.                      "
search warrant,"The protection of one's person or property against some injury attempted by 
another. The law of ""self defense"" justifies an act done in the reasonable 
belief of immediate danger. When acting in justifiable self defense, a 
person may not be punished criminally nor held responsible for civil  damages .                    "
self defense,"The  judgment  formally pronounced by the court upon the  defendant  after  conviction  in a criminal prosecution, imposing the punishment to be inflicted.                "
sentence,"Allowance ordered to be paid by one spouse to the other for support while 
the spouses are living apart but not divorced.                      "
separate maintenance,"Notifying a person that he or she has been named as a party to a lawsuit or 
has been accused of some offense. Process consists of a  summons ,  citation  or  warrant , to which a copy of the  complaint  is attached. Subpoenas are court orders which, if properly served, compel 
the attendance of the  witness  in court.            "
service of process,See Defamation.                      
slander,"A civil dispute in which the amounts of money involved is less than $2,000. 
Persons usually are not represented by lawyers in small claims proceedings. 
Small claims are litigated in the small claims division of the District 
Court, or in the Justice Court.                      "
small claims,"The doctrine that a government or governmental agency cannot be sued 
without consent.                      "
sovereign immunity,"A mandatory order in equity. Where monetary  damages  would be inadequate compensation for the breach of a  contract , the  contract or will be compelled to perform specifically what the  contract  called for.              "
specific performance,"There are essentially three standards of proof applicable in most court 
proceedings. In criminal and  delinquency  cases, the offense must be proven beyond a reasonable doubt, the highest 
standard. In civil cases and neglect and dependency proceedings, the lowest 
standard applies by a mere preponderance of the  evidence  (more likely than not). In some civil cases, and in juvenile proceedings 
such a permanent termination of parental rights, an intermediate standard 
applies: proof by clear and convincing  evidence .                "
standard of proof,"The doctrine that, when a court has once laid down a principle of law 
applicable to a certain set of facts, it will adhere to that principle and 
apply it to future cases where the facts are substantially the same. This 
is a defining characteristic of the common law system followed in the U.S., 
Great Britain, and a few other nations.                      "
stare decisis,"Refers to misbehavior which would not be criminal if committed by an adult 
(e.g., truancy, runaway, etc.), but is defined as an offense when committed 
by a minor because of the minor's status.                      "
status offense,A law passed by the state legislature.                      
statute,"A certain time allowed by  statute  in which litigation must be brought. In criminal cases, prosecution is 
barred if not brought within the  statute  of limitations.                  "
statute of limitations,"A stopping or arresting of a judicial proceeding by order of a court (e.g., 
a stay of enforcement of a judgment).                      "
stay,"An agreement by attorneys on opposite sides of a case as to any matter 
pertaining to the proceedings or  trial . It is not binding unless agreed to by the  parties , and most stipulations must be in writing.                  "
stipulation,"An official order to appear in court (or at a deposition) at a specific 
time. Failure to obey a subpoena to appear in court is punishable as a 
contempt of court.                      "
subpoena,A special form of  subpoena  which commands a  witness  to produce certain documents or records in a  trial  or at a  deposition .              
subpoena duces tecum,"The law dealing with rights, duties and liabilities, as contrasted with 
procedural law, which governs the technical aspects of enforcing civil or 
criminal laws.                      "
substantive law,"A notice to the named person that an action has been commenced against him 
in court and that he is required to appear, on the day named, and  answer  the  complaint .                  "
summons,"A  hearing  on a criminal defendant's  motion  to prohibit the prosecutor's use of  evidence  alleged to have been obtained in violation of the defendant's rights. This  hearing  is held outside of the presence of the jury, either prior to or at  trial . The judge must rule as a matter of law on the  motion .          "
suppression hearing,"A  sentence  ordered by the court but not imposed, which gives the  defendant  an opportunity to complete  probation .                "
suspended sentence,See preliminary  injunction .                    
temporary restraining order,"A judicial proceeding freeing a child from all  custody  and control by parents, so the child can be adopted by others.                    "
termination of parental rights,One who has died leaving a will or one who has made a will.                      
testate,The person who makes a will. (female: testatrix)                      
testator,Information or  evidence  given by a  witness  under oath.                  
testimony,"An injury or wrong committed, either with or without force, to the person 
or property of another, for which civil  liability  may be imposed.                    "
tort,The official record of proceedings in a  trial  or  hearing .                  
transcript,A judicial examination of issues between  parties  to an action.                    
trial,"Persons who receive a traffic  citation  have an option to appear before a judge in an informal  hearing  called Trial by Declaration. At this  hearing , there are no prosecutors, police or witnesses present. The person simply 
tells the judge his/her side of the story and the judge takes what action 
he/she determines is appropriate. If the  defendant  disagrees with the judge at the informal  hearing , he/she may request and receive a formal  trial .          "
trial by declaration or informal traffic hearing,A new  trial  or re trial  held in an appellate court in which the whole case is heard as if no  trial  had been heard in the lower court or administrative agency.                
trial de novo,"A transaction in which the owner of real property or personal property (the 
trustor or settlor) gives ownership to a trustee, to hold and to manage it 
for the benefit of a third party, called the ""beneficiary.""                      "
trust,"Whatever destroys free will and causes a person to do something he would 
not do if left to himself. For example, a strong willed family member might 
be found to have used undue influence on an elderly person's drawing up of 
a will.                      "
undue influence,"A detention of real  estate  without the consent of the owner or other person entitled to its 
possession.                    "
unlawful detainer,"The particular county, city or geographical area in which a court with  jurisdiction  may hear and determine a case. A change of venue, i.e., a change to a 
court in a different area may be sought under some circumstances.                    "
venue,The formal and unanimous decision or finding made by a jury.                      
verdict,"""To speak the truth"". The questioning of potential jurors by the judge and 
the lawyers to determine any biases, prejudices or other reasons for 
disqualification.                      "
voir dire,To give up a right or claim voluntarily.                      
waive,"A means authorized by statutes by which a  witness , in advance of giving  testimony  or producing  evidence , may renounce the fundamental constitutional right that no person shall be 
compelled to be a  witness  against himself/herself.              "
waiver of immunity,"A written order issued and signed by a judge or magistrate which allows the 
police to search a place and seize specified items found there (search 
warrant), or to arrest or detain a specified person (arrest warrant).                      "
warrant,"A ""willful"" act is one done intentionally, as distinguished from an act 
done carelessly or inadvertently.                      "
willful,"A dismissal ""without prejudice"" allows a new suit to be brought on the same 
cause of action.                      "
without prejudice,"A dismissal ""with prejudice"" bars the right to bring or maintain another 
action on the same claim or cause.                      "
with prejudice,"One who testifies under oath to what he/she has seen, heard or otherwise 
observed.                      "
witness,"A  petition  to a court for some extraordinary relief, such as asking the court to 
release a  defendant  from imprisonment.                  "
writ,"A procedure requesting appellate review. It is discretionary. If the  writ  is denied, the higher court refuses to hear the  appeal  and the  judgment  in the lower court stands unchanged. If the  writ  is granted, the higher court hears the  appeal .            "
writ of certiorari,
