id,field_roc_rule_index_id,field_rule_index_section_label,parent_section_by_label,parent_entity_id,field_rule_index_section_content,,,,,,,,
three__article_2__rules_of_conduct_for_mediators_in_court_connected_mediation_programs_for_civil_cases__94,three,Article 2. Rules of Conduct for Mediators in Court-Connected Mediation Programs for Civil Cases,Chapter 3. General Rules Relating to Mediation of Civil Cases,three__chapter_3__general_rules_relating_to_mediation_of_civil_cases__92,"Rule 3.850. Purpose and function::Rule 3.851. Application::Rule 3.852. Definitions::Rule 3.853. Voluntary participation and self-determination::Rule 3.854. Confidentiality::Rule 3.855. Impartiality, conflicts of interest, disclosure, and withdrawal::Rule 3.856. Competence::Rule 3.857. Quality of mediation process::Rule 3.858. Marketing::Rule 3.859. Compensation and gifts::Rule 3.860. Attendance sheet and agreement to disclosure",,,,,,,,Chapter 1. Reference by Agreement of the Parties Under Code of Civil Procedure Section 638
three__article_3__requirements_for_addressing_complaints_about_court_program_mediators__95,three,Article 3. Requirements for Addressing Complaints About Court-Program Mediators,Chapter 3. General Rules Relating to Mediation of Civil Cases,three__chapter_3__general_rules_relating_to_mediation_of_civil_cases__92,"Rule 3.865. Application and purpose::Rule 3.866. Definitions::Rule 3.867. Complaint coordinator::Rule 3.868. Complaint procedure required::Rule 3.869. General requirements for complaint procedures and complaint proceedings::Rule 3.870. Permissible court actions on complaints::Rule 3.871. Confidentiality of complaint proceedings, information, and records::Rule 3.872. Disqualification from subsequently serving as an adjudicator",,,,,,,,Chapter 2. Court-Ordered Reference Under Code of Civil Procedure Section 639
three__chapter_4__civil_action_mediation_program_rules__96,three,Chapter 4. Civil Action Mediation Program Rules,Division 8. Alternative Dispute Resolution,three__division_8__alternative_dispute_resolution__89,"Rule 3.890. Application::Rule 3.891. Actions subject to mediation::Rule 3.892. Panels of mediators::Rule 3.893. Selection of mediators::Rule 3.894. Attendance, participant lists, and mediation statements::Rule 3.895. Filing of Statement of Agreement or Nonagreement by mediator::Rule 3.896. Coordination with Trial Court Delay Reduction Act::Rule 3.898. Educational material",,,,,,,,Chapter 3. Rules Applicable to References Under Code of Civil Procedure Section 638 or 639
three__division_9__references__97,three,Division 9. References,,,,,,,,,,,Division 10. Discovery
three__chapter_1__reference_by_agreement_of_the_parties_under_code_of_civil_procedure_section_638__98,three,Chapter 1. Reference by Agreement of the Parties Under Code of Civil Procedure Section 638,Division 9. References,three__division_9__references__97,Rule 3.900. Purposes of reference::Rule 3.901. Application for order appointing referee::Rule 3.902. Order appointing referee::Rule 3.903. Selection and qualifications of referee::Rule 3.904. Certification and disclosure by referee::Rule 3.905. Objections to the appointment::Rule 3.906. Motion to withdraw stipulation::Rule 3.907. Use of court facilities and court personnel,,,,,,,,Chapter 1. Format of Discovery
three__chapter_2__court_ordered_reference_under_code_of_civil_procedure_section_639__99,three,Chapter 2. Court-Ordered Reference Under Code of Civil Procedure Section 639,Division 9. References,three__division_9__references__97,Rule 3.920. Purposes and conditions for appointment of referee::Rule 3.921. Motion for appointment of a referee::Rule 3.922. Form and contents of order appointing referee::Rule 3.923. Selection and qualification of referee::Rule 3.924. Certification and disclosure by referee::Rule 3.925. Objection to reference::Rule 3.926. Use of court facilities,,,,,,,,Chapter 2. Conduct of Discovery
three__chapter_3__rules_applicable_to_references_under_code_of_civil_procedure_section_638_or_639__100,three,Chapter 3. Rules Applicable to References Under Code of Civil Procedure Section 638 or 639,Division 9. References,three__division_9__references__97,"Rule 3.930. Documents and exhibits::Rule 3.931. Open proceedings, notice of proceedings, and order for hearing site::Rule 3.932. Motions or applications to be heard by the court",,,,,,,,Division 11. Law and Motion
three__division_10__discovery__101,three,Division 10. Discovery,,,,,,,,,,,Chapter 2. Format of Motion Papers
three__chapter_1__format_of_discovery__102,three,Chapter 1. Format of Discovery,Division 10. Discovery,three__division_10__discovery__101,Rule 3.1000. Format of supplemental and further discovery,,,,,,,,Chapter 3. Provisional and Injunctive Relief
three__chapter_2__conduct_of_discovery__103,three,Chapter 2. Conduct of Discovery,Division 10. Discovery,three__division_10__discovery__101,"Rule 3.1010. Oral depositions by telephone, videoconference, or other remote electronic means",,,,,,,,Article 2. Writs
three__division_11__law_and_motion__104,three,Division 11. Law and Motion,,,,,,,,,,,Article 3. Injunctions
three__chapter_1__general_provisions__105,three,Chapter 1. General Provisions,Division 11. Law and Motion,three__division_11__law_and_motion__104,Rule 3.1100. Application::Rule 3.1103. Definitions and construction::Rule 3.1109. Notice of determination of submitted matters,,,,,,,,Article 4. Protective Orders
three__chapter_2__format_of_motion_papers__106,three,Chapter 2. Format of Motion Papers,Division 11. Law and Motion,three__division_11__law_and_motion__104,"Rule 3.1110. General format::Rule 3.1112. Motions-and other pleadings::Rule 3.1113. Memorandum::Rule 3.1114. Applications, motions, and petitions not requiring a memorandum::Rule 3.1115. Declarations::Rule 3.1116. Deposition testimony as an exhibit",,,,,,,,Article 5. Receiverships
three__chapter_3__provisional_and_injunctive_relief__107,three,Chapter 3. Provisional and Injunctive Relief,Division 11. Law and Motion,three__division_11__law_and_motion__104,,,,,,,,,Chapter 4. Ex Parte Applications
three__article_1__general_provisions__108,three,Article 1. General Provisions,Chapter 3. Provisional and Injunctive Relief,three__chapter_3__provisional_and_injunctive_relief__107,Rule 3.1130. Bonds and undertakings,,,,,,,,Chapter 5. Noticed Motions
three__article_2__writs__109,three,Article 2. Writs,Chapter 3. Provisional and Injunctive Relief,three__chapter_3__provisional_and_injunctive_relief__107,Rule 3.1140. Lodging of record in administrative mandate cases::Rule 3.1142. Stay of driving license suspension,,,,,,,,Chapter 6. Particular Motions
three__article_3__injunctions__110,three,Article 3. Injunctions,Chapter 3. Provisional and Injunctive Relief,three__chapter_3__provisional_and_injunctive_relief__107,Rule 3.1150. Preliminary injunctions and bonds::Rule 3.1151. Requirements for injunction in certain cases,,,,,,,,Article 1. Pleading and Venue Motions
three__article_4__protective_orders__111,three,Article 4. Protective Orders,Chapter 3. Provisional and Injunctive Relief,three__chapter_3__provisional_and_injunctive_relief__107,"Rule 3.1160. Requests for protective orders to prevent civil harassment, workplace violence, private postsecondary school violence, and elder or dependent adult abuse::Rule 3.1161. Request to make minor's information confidential in civil harassment protective order proceedings::Rule 3.1162. Service requirement for respondents who appear remotely",,,,,,,,Article 2. Procedural Motions
three__article_5__receiverships__112,three,Article 5. Receiverships,Chapter 3. Provisional and Injunctive Relief,three__chapter_3__provisional_and_injunctive_relief__107,Rule 3.1175. Ex parte application for appointment of receiver::Rule 3.1176. Confirmation of ex parte appointment of receiver::Rule 3.1177. Nomination of receivers::Rule 3.1178. Amount of undertakings::Rule 3.1179. The receiver::Rule 3.1180. Employment of attorney::Rule 3.1181. Receiver's inventory::Rule 3.1182. Monthly reports::Rule 3.1183. Interim fees and objections::Rule 3.1184. Receiver's final account and report,,,,,,,,Article 3. Motions to Dismiss
three__chapter_4__ex_parte_applications__113,three,Chapter 4. Ex Parte Applications,Division 11. Law and Motion,three__division_11__law_and_motion__104,Rule 3.1200. Application::Rule 3.1201. Required documents::Rule 3.1202. Contents of application::Rule 3.1203. Time of notice to other parties::Rule 3.1204. Contents of notice and declaration regarding notice::Rule 3.1205. Filing and presentation of the ex parte application::Rule 3.1206. Service of papers::Rule 3.1207. Appearance requirements,,,,,,,,Article 4. Discovery Motions
three__chapter_5__noticed_motions__114,three,Chapter 5. Noticed Motions,Division 11. Law and Motion,three__division_11__law_and_motion__104,Rule 3.1300. Time for filing and service of motion papers::Rule 3.1302. Place and manner of filing::Rule 3.1304. Time of hearing::Rule 3.1306. Evidence at hearing::Rule 3.1308. Tentative rulings::Rule 3.1310. Reporting of proceedings on motions::Rule 3.1312. Preparation and submission of proposed order,,,,,,,,Article 5. Summary Judgment Motions
three__chapter_6__particular_motions__115,three,Chapter 6. Particular Motions,Division 11. Law and Motion,three__division_11__law_and_motion__104,,,,,,,,,Article 6. Miscellaneous Motions
three__article_1__pleading_and_venue_motions__116,three,Article 1. Pleading and Venue Motions,Chapter 6. Particular Motions,three__chapter_6__particular_motions__115,Rule 3.1320. Demurrers::Rule 3.1322. Motions to strike::Rule 3.1324. Amended pleadings and amendments to pleadings::Rule 3.1326. Motions for change of venue::Rule 3.1327. Motions to quash or to stay action in summary proceeding involving possession of real property,,,,,,,,Chapter 7. Civil Petitions
three__article_2__procedural_motions__117,three,Article 2. Procedural Motions,Chapter 6. Particular Motions,three__chapter_6__particular_motions__115,"Rule 3.1330. Motion concerning arbitration::Rule 3.1332. Motion or application for continuance of trial::Rule 3.1335. Motion or application to advance, specially set, or reset trial date",,,,,,,,Chapter 8. Other Civil Petitions
three__article_3__motions_to_dismiss__118,three,Article 3. Motions to Dismiss,Chapter 6. Particular Motions,three__chapter_6__particular_motions__115,Rule 3.1340. Motion for discretionary dismissal after two years for delay in prosecution::Rule 3.1342. Motion to dismiss for delay in prosecution,,,,,,,,Division 12. Settlement
three__article_4__discovery_motions__119,three,Article 4. Discovery Motions,Chapter 6. Particular Motions,three__chapter_6__particular_motions__115,Rule 3.1345. Format of discovery motions::Rule 3.1346. Service of motion papers on nonparty deponent::Rule 3.1347. Discovery motions in summary proceeding involving possession of real property::Rule 3.1348. Sanctions for failure to provide discovery,,,,,,,,Division 13. Dismissal of Actions
three__article_5__summary_judgment_motions__120,three,Article 5. Summary Judgment Motions,Chapter 6. Particular Motions,three__chapter_6__particular_motions__115,Rule 3.1350. Motion for summary judgment or summary adjudication::Rule 3.1351. Motions for summary judgment in summary proceeding involving possession of real property::Rule 3.1352. Objections to evidence::Rule 3.1354. Written objections to evidence,,,,,,,,Division 14. Pretrial [Reserved]
three__article_6__miscellaneous_motions__121,three,Article 6. Miscellaneous Motions,Chapter 6. Particular Motions,three__chapter_6__particular_motions__115,Rule 3.1360. Motion to grant lien on cause of action::Rule 3.1362. Motion to be relieved as counsel,,,,,,,,Division 15. Trial
three__chapter_7__civil_petitions__122,three,Chapter 7. Civil Petitions,Division 11. Law and Motion,three__division_11__law_and_motion__104,Rule 3.1365. Petitions under the California Environmental Quality Act::Rule 3.1366. Lodging and service::Rule 3.1367. Electronic format::Rule 3.1368. Paper format,,,,,,,,Chapter 2. Consolidation or Bifurcation of Cases for Trial [Reserved]
three__chapter_8__other_civil_petitions__123,three,Chapter 8. Other Civil Petitions,Division 11. Law and Motion,three__division_11__law_and_motion__104,Rule 3.1370. Emancipation of minors::Rule 3.1372. Petitions for relief from financial obligations during military service,,,,,,,,Chapter 3. Nonjury Trials [Reserved]
three__division_12__settlement__124,three,Division 12. Settlement,,,Rule 3.1380. Mandatory settlement conferences::Rule 3.1382. Good faith settlement and dismissal::Rule 3.1384. Petition for approval of the compromise of a claim of a minor or a person with a disability; order for deposit of funds; and petition for withdrawal::Rule 3.1385. Duty to notify court and others of settlement of entire case,,,,,,,,Chapter 4. Jury Trials
three__division_13__dismissal_of_actions__125,three,Division 13. Dismissal of Actions,,,Rule 3.1390. Service and filing of notice of entry of dismissal,,,,,,,,Chapter 4.5. Expedited Jury Trials
three__division_14__pretrial__reserved___126,three,Division 14. Pretrial [Reserved],,,,,,,,,,,Article 1 Applicability
three__division_15__trial__127,three,Division 15. Trial,,,,,,,,,,,Article 2. Rules Applicable Only to Cases with Mandatory Expedited Jury Trials
three__chapter_1__general_provisions__reserved___128,three,Chapter 1. General Provisions [Reserved],Division 15. Trial,three__division_15__trial,,,,,,,,,Article 3. Rules Applicable Only to Cases with Voluntary Expedited Jury Trials
three__chapter_2__consolidation_or_bifurcation_of_cases_for_trial__reserved___129,three,Chapter 2. Consolidation or Bifurcation of Cases for Trial [Reserved],Division 15. Trial,three__division_15__trial,,,,,,,,,Article 4. Rules Applicable to All Expedited Jury Trials
three__chapter_3__nonjury_trials__reserved___130,three,Chapter 3. Nonjury Trials [Reserved],Division 15. Trial,three__division_15__trial,,,,,,,,,Chapter 5. Testimony and Evidence [Reserved]
three__chapter_4__jury_trials__131,three,Chapter 4. Jury Trials,Division 15. Trial,three__division_15__trial,Rule 3.1540. Examination of prospective jurors in civil cases,,,,,,,,Chapter 6. Expert Witness Testimony [Reserved]
three__chapter_4_5__expedited_jury_trials__132,three,Chapter 4.5. Expedited Jury Trials,Division 15. Trial,three__division_15__trial,,,,,,,,,Chapter 7. Jury Instructions
three__article_1_applicability__133,three,Article 1 Applicability,Chapter 4.5. Expedited Jury Trials,three__chapter_4_5__expedited_jury_trials,Rule 3.1545. Expedited jury trials,,,,,,,,Chapter 8. Special Verdicts
three__article_2__rules_applicable_only_to_cases_with_mandatory_expedited_jury_trials__134,three,Article 2. Rules Applicable Only to Cases with Mandatory Expedited Jury Trials,Chapter 4.5. Expedited Jury Trials,three__chapter_4_5__expedited_jury_trials,"Former rule 3.1546. Renumbered effective July 1, 2016::Rule 3.1546. Pretrial procedures for mandatory expedited jury trials",,,,,,,,Chapter 9. Statement of Decision
three__article_3__rules_applicable_only_to_cases_with_voluntary_expedited_jury_trials__135,three,Article 3. Rules Applicable Only to Cases with Voluntary Expedited Jury Trials,Chapter 4.5. Expedited Jury Trials,three__chapter_4_5__expedited_jury_trials,Rule 3.1547. Consent order for voluntary expedited jury trial::Rule 3.1548. Pretrial submissions for voluntary expedited jury trials,,,,,,,,Division 16. Post-trial
three__article_4__rules_applicable_to_all_expedited_jury_trials__136,three,Article 4. Rules Applicable to All Expedited Jury Trials,Chapter 4.5. Expedited Jury Trials,three__chapter_4_5__expedited_jury_trials,Rule 3.1549. Voir dire::Rule 3.1550. Time limits::Rule 3.1551. Case presentation::Rule 3.1552. Presentation of evidence::Rule 3.1553. Assignment of judicial officers,,,,,,,,Division 17. Attorney's Fees and Costs
three__chapter_5__testimony_and_evidence__reserved___137,three,Chapter 5. Testimony and Evidence [Reserved],Division 15. Trial,three__division_15__trial,,,,,,,,,Division 18. Judgments
three__chapter_6__expert_witness_testimony__reserved___138,three,Chapter 6. Expert Witness Testimony [Reserved],Division 15. Trial,three__division_15__trial,,,,,,,,,Division 19. Postjudgment and Enforcement of Judgments
three__chapter_7__jury_instructions__139,three,Chapter 7. Jury Instructions,Division 15. Trial,three__division_15__trial,Rule 3.1560. Application,,,,,,,,Division 20. Unlawful Detainers
three__chapter_8__special_verdicts__140,three,Chapter 8. Special Verdicts,Division 15. Trial,three__division_15__trial,Rule 3.1580. Request for special findings by jury,,,,,,,,Division 21. Rules for Small Claims Actions
three__chapter_9__statement_of_decision__141,three,Chapter 9. Statement of Decision,Division 15. Trial,three__division_15__trial,"Rule 3.1590. Announcement of tentative decision, statement of decision, and judgment::Rule 3.1591. Statement of decision, judgment, and motion for new trial following bifurcated trial",,,,,,,,Chapter 1. Trial Rules
three__division_16__post_trial__142,three,Division 16. Post-trial,,,Rule 3.1600. Notice of intention to move for new trial::Rule 3.1602. Hearing of motion to vacate judgment,,,,,,,,Chapter 2. Small Claims Advisors
three__division_17__attorney_s_fees_and_costs__143,three,Division 17. Attorney's Fees and Costs,,,Rule 3.1700. Prejudgment costs::Rule 3.1702. Claiming attorney's fees,,,,,,,,Division 22. Petitions Under the California Environmental Quality Act
three__division_18__judgments__144,three,Division 18. Judgments,,,Rule 3.1800. Default judgments::Rule 3.1802. Inclusion of interest in judgment::Rule 3.1804. Periodic payment of judgments against public entities::Rule 3.1806. Notation on written instrument of rendition of judgment,,,,,,,,Chapter 2. California Environmental Quality Act Proceedings Involving Streamlined CEQA Projects
three__division_19__postjudgment_and_enforcement_of_judgments__145,three,Division 19. Postjudgment and Enforcement of Judgments,,,Rule 3.1900. Notice of renewal of judgment,,,,,,,,Article 2. CEQA Challenges to Approval of Sacramento Arena Project
three__division_20__unlawful_detainers__146,three,Division 20. Unlawful Detainers,,,Rule 3.2000. Unlawful detainer-supplemental costs::Rule 3.2005. Settlement opportunities,,,,,,,,Article 3. Trial Court Costs
three__division_21__rules_for_small_claims_actions__147,three,Division 21. Rules for Small Claims Actions,,,,,,,,,,,Division 23. Miscellaneous
three__chapter_1__trial_rules__148,three,Chapter 1. Trial Rules,Division 21. Rules for Small Claims Actions,three__division_21__rules_for_small_claims_actions__147,Rule 3.2100. Compliance with fictitious business name laws::Rule 3.2102. Substituted service::Rule 3.2104. Defendant's claim::Rule 3.2106. Venue challenge::Rule 3.2107. Request for court order::Rule 3.2108. Form of judgment::Rule 3.2110. Role of clerk in assisting small claims litigants,,,,,,,,Division 1. General Provisions
three__chapter_2__small_claims_advisors__149,three,Chapter 2. Small Claims Advisors,Division 21. Rules for Small Claims Actions,three__division_21__rules_for_small_claims_actions__147,Rule 3.2120. Advisor assistance,,,,,,,,Division 2. Pretrial
three__division_22__petitions_under_the_california_environmental_quality_act__150,three,Division 22. Petitions Under the California Environmental Quality Act,,,,,,,,,,,Chapter 1. Pretrial Proceedings
three__chapter_1__general_provisions__151,three,Chapter 1. General Provisions,Division 22. Petitions Under the California Environmental Quality Act,three__division_22__petitions_under_the_california_environmental_quality_act__150,Rule 3.2200. Application::Rule 3.2205. Form and format of administrative record lodged in a CEQA proceeding::Rule 3.2206. Lodging and service::Rule 3.2207. Electronic format::Rule 3.2208. Paper format,,,,,,,,Chapter 2. Change of Venue
three__chapter_2__california_environmental_quality_act_proceedings_involving_streamlined_ceqa_projects__152,three,Chapter 2. California Environmental Quality Act Proceedings Involving Streamlined CEQA Projects,Division 22. Petitions Under the California Environmental Quality Act,three__division_22__petitions_under_the_california_environmental_quality_act__150,,,,,,,,,Division 3. Trials
three__article_1__general_provisions__153,three,Article 1. General Provisions,Chapter 2. California Environmental Quality Act Proceedings Involving Streamlined CEQA Projects,three__chapter_2__california_environmental_quality_act_proceedings_involving_streamlined_ceqa_projects__152,Rule 3.2220. Definitions and application::Rule 3.2221. Time::Rule 3.2222. Filing and service::Rule 3.2223. Petition::Rule 3.2224. Response to petition::Rule 3.2225. Administrative record::Rule 3.2226. Initial case management conference::Rule 3.2227. Briefing and Hearing::Rule 3.2228. Judgment::Rule 3.2229. Notice of settlement::Rule 3.2230. Settlement procedures and statement of issues::Rule 3.2231. Postjudgment motions,,,,,,,,Division 4. Sentencing
three__article_2__ceqa_challenges_to_approval_of_sacramento_arena_project__154,three,Article 2. CEQA Challenges to Approval of Sacramento Arena Project,Chapter 2. California Environmental Quality Act Proceedings Involving Streamlined CEQA Projects,three__chapter_2__california_environmental_quality_act_proceedings_involving_streamlined_ceqa_projects__152,Rule 3.2235. Application::Rule 3.2236. Service of Petition::Rule 3.2237. List of responsible parties,,,,,,,,Division 5. Felony Sentencing Law
three__article_3__trial_court_costs__155,three,Article 3. Trial Court Costs,Chapter 2. California Environmental Quality Act Proceedings Involving Streamlined CEQA Projects,three__chapter_2__california_environmental_quality_act_proceedings_involving_streamlined_ceqa_projects__152,Rule 3.2240. Trial court costs in certain streamlined CEQA projects,,,,,,,,"Division 6. Postconviction, Postrelease, and Writs"
three__division_23__miscellaneous__156,three,Division 23. Miscellaneous,,,Rule 3.2300. Review under Penal Code section 186.35 of law enforcement agency denial of request to remove name from shared gang database,,,,,,,,Chapter 1. Postconviction
four__division_1__general_provisions__157,four,Division 1. General Provisions,,,Rule 4.1. Title::Rule 4.2. Application::Rule 4.3. Reference to Penal Code,,,,,,,,Chapter 2. Postrelease
four__division_2__pretrial__158,four,Division 2. Pretrial,,,,,,,,,,,Chapter 3. Habeas Corpus
four__chapter_1__pretrial_proceedings__159,four,Chapter 1. Pretrial Proceedings,Division 2. Pretrial,four__division_2__pretrial__159,"Rule 4.100. Arraignments::Rule 4.101. Bail in criminal cases::Rule 4.102. Uniform bail and penalty schedules-traffic, boating, fish and game, forestry, public utilities, parks and recreation, business licensing::Rule 4.103. Notice to appear forms::Rule 4.104. Procedures and eligibility criteria for attending traffic violator school::Rule 4.105. Appearance without deposit of bail in infraction cases::Rule 4.106. Failure to appear or failure to pay for a Notice to Appear issued for an infraction offense::Rule 4.107. Mandatory reminder notice?traffic procedures::Rule 4.108. Installment Payment Agreements::Rule 4.110. Time limits for criminal proceedings on information or indictment::Rule 4.111. Pretrial motions in criminal cases::Rule 4.112. Readiness conference::Rule 4.113. Motions and grounds for continuance of criminal case set for trial::Rule 4.114. Certification under Penal Code section 859a::Rule 4.115. Criminal case assignment::Rule 4.116. Certification to juvenile court::Rule 4.117. Qualifications for appointed trial counsel in capital cases::Rule 4.119. Additional requirements in pretrial proceedings in capital cases::Rule 4.130. Mental competency proceedings::Rule 4.131. Probable cause determinations under section 1368.1(a)(2)",,,,,,,,Article 1. General Provisions
four__chapter_2__change_of_venue__160,four,Chapter 2. Change of Venue,Division 2. Pretrial,four__division_2__pretrial__159,Rule 4.150. Change of venue: application and general provisions::Rule 4.151. Motion for change of venue::Rule 4.152. Selection of court and trial judge::Rule 4.153. Order on change of venue::Rule 4.154. Proceedings in the receiving court::Rule 4.155. Guidelines for reimbursement of costs in change of venue cases-criminal cases,,,,,,,,Article 2. Noncapital Habeas Corpus Proceedings in the Superior Court
four__division_3__trials__161,four,Division 3. Trials,,,Rule 4.200. Pre-voir dire conference in criminal cases::Rule 4.201. Voir dire in criminal cases::Rule 4.202. Statements to the jury panel::Rule 4.210. Traffic court-trial by written declaration::Rule 4.220. Remote video proceedings in traffic infraction cases::Rule 4.230. Additional requirements in capital cases,,,,,,,,Article 3. Death Penalty-Related Habeas Corpus Proceedings in the Superior Court
four__division_4__sentencing__162,four,Division 4. Sentencing,,,"Rule 4.300. Commitments to nonpenal institutions [Repealed]::Rule 4.305. Notification of appeal rights in felony cases::Rule 4.306. Notification of appeal rights in misdemeanor and infraction cases::Rule 4.310. Determination of presentence custody time credit::Rule 4.315. Setting date for execution of death sentence::Rule 4.320. Records of criminal convictions (Gov. Code, §§ 69844.5, 71280.5)::Rule 4.325. Ignition interlock installation orders: ""interest of justice"" exceptions::Rule 4.330. Misdemeanor hate crimes::Rule 4.335. Ability-to-pay determinations for infraction offenses::Rule 4.336. Confidential Can't Afford to Pay Fine Forms",,,,,,,,Division 7. Miscellaneous
four__division_5__felony_sentencing_law__163,four,Division 5. Felony Sentencing Law,,,"Rule 4.401. Authority::Rule 4.403. Application::Rule 4.405. Definitions::Rule 4.406. Reasons::Rule 4.408. Listing of factors not exclusive; sequence not significant::Rule 4.409. Consideration of relevant factors::Rule 4.410. General objectives in sentencing::Rule 4.411. Presentence investigations and reports::Rule 4.411.5. Probation officer's presentence investigation report::Rule 4.412. Reasons-agreement to punishment as an adequate reason and as abandonment of certain claims::Rule 4.413. Grant of probation when defendant is presumptively ineligible for probation::Rule 4.414. Criteria affecting probation::Rule 4.415. Criteria affecting the imposition of mandatory supervision::Rule 4.420. Selection of term of imprisonment::Rule 4.421. Circumstances in aggravation::Rule 4.423. Circumstances in mitigation::Rule 4.424. Consideration of applicability of section 654::Rule 4.425. Factors affecting concurrent or consecutive sentences::Rule 4.426. Violent sex crimes::Rule 4.427. Hate crimes::Rule 4.428. Factors affecting imposition of enhancements::Rule 4.431. Proceedings at sentencing to be reported::Rule 4.433. Matters to be considered at time set for sentencing::Rule 4.435. Sentencing on revocation of probation, mandatory supervision, and postrelease community supervision::Rule 4.437. Statements in aggravation and mitigation::Rule 4.447. Sentencing of enhancements::Rule 4.451. Sentence consecutive to or concurrent with indeterminate term or term in other jurisdiction::Rule 4.452. Determinate sentence consecutive to prior determinate sentence::Rule 4.453. Commitments to nonpenal institutions [Repealed]::Rule 4.470. Notification of appeal rights in felony cases [Repealed]::Rule 4.472. Determination of presentence custody time credit::Rule 4.480. Judge's statement under section 1203.01",,,,,,,,Division 1. Family Rules
four__division_6__postconviction__postrelease__and_writs__164,four,"Division 6. Postconviction, Postrelease, and Writs",,,,,,,,,,,Chapter 1. General Provisions
four__chapter_1__postconviction__165,four,Chapter 1. Postconviction,"Division 6. Postconviction, Postrelease, and Writs",four__division_6__postconviction__postrelease__and_writs__165,Rule 4.510. Reverse remand::Rule 4.530. Intercounty transfer of probation and mandatory supervision cases,,,,,,,,Article 1. General Provisions
four__chapter_2__postrelease__166,four,Chapter 2. Postrelease,"Division 6. Postconviction, Postrelease, and Writs",four__division_6__postconviction__postrelease__and_writs__165,Rule 4.540. Revocation of postrelease community supervision [Repealed]::Rule 4.541. Minimum contents of supervising agency reports,,,,,,,,Article 2: Use of Forms
four__chapter_3__habeas_corpus__167,four,Chapter 3. Habeas Corpus,"Division 6. Postconviction, Postrelease, and Writs",four__division_6__postconviction__postrelease__and_writs__165,,,,,,,,,Article 3. Appearance by Telephone
four__article_1__general_provisions__168,four,Article 1. General Provisions,Chapter 3. Habeas Corpus,four__chapter_3__habeas_corpus__167,Rule 4.545. Definitions,,,,,,,,Article 4. Discovery
four__article_2__noncapital_habeas_corpus_proceedings_in_the_superior_court__169,four,Article 2. Noncapital Habeas Corpus Proceedings in the Superior Court,Chapter 3. Habeas Corpus,four__chapter_3__habeas_corpus__167,Rule 4.550. Habeas corpus application::Rule 4.551. Habeas corpus proceedings::Rule 4.552. Habeas corpus jurisdiction,,,,,,,,Article 5: Sanctions
four__article_3__death_penalty_related_habeas_corpus_proceedings_in_the_superior_court__170,four,Article 3. Death Penalty-Related Habeas Corpus Proceedings in the Superior Court,Chapter 3. Habeas Corpus,four__chapter_3__habeas_corpus__167,Rule 4.560. Application of article::Rule 4.561. Superior court appointment of counsel in death penalty-related habeas corpus proceedings::Rule 4.562. Recruitment and determination of qualifications of attorneys for appointment in death penalty-related habeas corpus proceedings::Rule 4.571. Filing of petition in the superior court::Rule 4.572. Transfer of petitions::Rule 4.573. Proceedings after the petition is filed::Rule 4.574. Proceedings following an order to show cause::Rule 4.575. Decision on death penalty-related habeas corpus petition::Rule 4.576. Successive petitions::Rule 4.577. Transfer of files,,,,,,,,Chapter 2. Parties and Joinder of Parties
four__division_7__miscellaneous__171,four,Division 7. Miscellaneous,,,Rule 4.601. Judicial determination of factual innocence form::Rule 4.700. Firearm relinquishment procedures for criminal protective orders,,,,,,,,Article 1. Parties to Proceedings
five__division_1__family_rules__172,five,Division 1. Family Rules,,,Rule 5.1. Title,,,,,,,,Article 2. Joinder of Parties
five__chapter_1__general_provisions__173,five,Chapter 1. General Provisions,Division 1. Family Rules,five__division_1__family_rules__172,,,,,,,,,Article 3. Employee Pension Benefit Plan
five__article_1__general_provisions__174,five,Article 1. General Provisions,Chapter 1. General Provisions,five__chapter_1__general_provisions__173,Rule 5.2. Division title; definitions; application of rules and laws::Rule 5.4. Preemption; local rules and forms,,,,,,,,Chapter 3. Filing Fees and Fee Waivers
five__article_2__use_of_forms__175,five,Article 2: Use of Forms,Chapter 1. General Provisions,five__chapter_1__general_provisions__173,Rule 5.7. Use of forms,,,,,,,,Article 1. Filing Fees and Fee Waivers
five__article_3__appearance_by_telephone__176,five,Article 3. Appearance by Telephone,Chapter 1. General Provisions,five__chapter_1__general_provisions__173,Rule 5.9. Appearance by telephone,,,,,,,,Article 2. Special Procedures
five__article_4__discovery__177,five,Article 4. Discovery,Chapter 1. General Provisions,five__chapter_1__general_provisions__173,Rule 5.12. Request for order regarding discovery,,,,,,,,Chapter 4. Starting and Responding to a Family Law Case; Service of Papers
five__article_5__sanctions__178,five,Article 5: Sanctions,Chapter 1. General Provisions,five__chapter_1__general_provisions__173,Rule 5.14. Sanctions for violations of rules of court in family law cases,,,,,,,,"Article 1. Summonses, Notices, and Declarations"
five__chapter_2__parties_and_joinder_of_parties__179,five,Chapter 2. Parties and Joinder of Parties,Division 1. Family Rules,five__division_1__family_rules__172,,,,,,,,,Article 2. Initial Pleadings
five__article_1__parties_to_proceedings__180,five,Article 1. Parties to Proceedings,Chapter 2. Parties and Joinder of Parties,five__chapter_2__parties_and_joinder_of_parties__179,Rule 5.16. Designation of parties::Rule 5.17. Other causes of action::Rule 5.18. Injunctive relief and reservation of jurisdiction,,,,,,,,Article 3. Service of Papers
